"Id","Date","Counter Party","Details","Amount",
"1","2020-05-09","MAXIMA LT, X-097\MINDAUGO G. 11\VILNIUS\UNKNOWN      LTU","08/05/2020 15:11 kortelė MAXIMA LT","-30.19",
"2","2020-05-04","SEB bankas","JAUNIMAS paslaugų planas  - mėnesio mokestis už balandžio mėn.","-0.5",
"3","2020-04-27","CITYBEE               \Ozo gatv  10A                                \VILNIUS      \08200000  GBRGBR","24/04/2020 13:47  kortelė CITYBEE/VILNIUS","-9.44",
"4","2020-04-27","CITYBEE               \Ozo gatv  10A                                \VILNIUS      \08200000  GBRGBR","24/04/2020 08:02  kortelė CITYBEE/VILNIUS","-5",
"5","2020-04-24","Vilniaus universitetas","Stipendija","175.5",
"6","2020-04-23","VIADA LT PLK059\KIRTIMU G. 29\VILNIUS\UNKNOWN      LTU","22/04/2020 20:50 kortelė VIADA LT ","-30.85",
"7","2020-04-23","VIADA LT PLK059\KIRTIMU G. 29\VILNIUS\UNKNOWN      LTU","22/04/2020 20:51 kortelė VIADA LT ","-1.14",
"8","2020-04-14","SEB bankas","09/04/2020 21:47  kortelė www.zmonescinema.lt","-20",
"9","2020-04-14","UAB DARBAS","Darbo užmokestis už kovo mėnesį","172.27",
"10","2020-10-06","1 MOKĖTOJO ARBA GAVĖJO PAVADINIMAS","1 paskirtis","-0.15",
"11","2020-10-05","2 MOKĖTOJO ARBA GAVĖJO PAVADINIMAS","2 paskirtis","-200",
"12","2020-01-02","************4500EUR12019-12-31LIDL 449 GRONINGENGRONINGENNLDLTUZACH200022BPR","Luminor Bank AS","-7.59",
"13","2020-01-05","2019-12-31LTUZACH200055TT4","Luminor Bank AS","-1.00",
"14","2020-01-06","************4500EUR12020-01-03LIDL 449 GRONINGENGRONINGENNLDLTUZACH200062U8Z","Luminor Bank AS","-16.48",
"15","2020-01-10","************4500EUR12020-01-08LIDL 449 GRONINGENGRONINGENNLDLTUZACH200101HCB","Luminor Bank AS","-13.43",
